TODROP,RANK,ID,GRADES,VR,SP,VR+SP,CZECH,MATH,SUM,ADMITTED_ID,YEAR,SCHOOLCOURSE_ID
294,24,62079,2.0,19.0,17.0,36.0,44,40,122.0,1,2017,2081
295,25,15585,2.0,12.0,20.0,32.0,45,42,121.0,1,2017,2081
296,26,34035,2.0,20.0,19.0,39.0,44,36,121.0,1,2017,2081
297,26,50271,2.0,14.0,19.0,33.0,39,47,121.0,1,2017,2081
298,28,21489,2.0,14.0,20.0,34.0,43,41,120.0,1,2017,2081
299,29,68229,2.0,16.0,18.0,34.0,44,40,120.0,1,2017,2081
300,30,47319,2.0,14.0,24.0,38.0,35,44,119.0,1,2017,2081
301,31,29115,2.0,15.0,23.0,38.0,43,35,118.0,1,2017,2081
302,32,36495,2.0,12.0,21.0,33.0,41,42,118.0,1,2017,2081
303,32,65523,2.0,12.0,21.0,33.0,42,41,118.0,1,2017,2081
304,34,91353,2.0,16.0,20.0,36.0,36,44,118.0,1,2017,2081
305,35,62325,2.0,15.0,18.0,33.0,39,44,118.0,1,2017,2081
306,36,13371,2.0,19.0,23.0,42.0,43,30,117.0,1,2017,2081
307,37,23949,2.0,17.0,21.0,38.0,41,36,117.0,1,2017,2081
308,38,62817,2.0,11.0,20.0,31.0,40,44,117.0,1,2017,2081
309,39,11649,1.901,18.0,19.0,37.0,41,37,116.90100000000001,1,2017,2081
310,40,13617,2.0,14.0,22.0,36.0,36,42,116.0,1,2017,2081
311,41,30591,2.0,16.0,21.0,37.0,39,38,116.0,1,2017,2081
312,42,67983,2.0,10.0,20.0,30.0,38,46,116.0,1,2017,2081
313,43,14355,2.0,17.0,17.0,34.0,43,37,116.0,1,2017,2081
314,44,41415,2.0,11.0,20.0,31.0,39,43,115.0,1,2017,2081
315,44,67491,2.0,15.0,20.0,35.0,38,40,115.0,1,2017,2081
316,46,13863,2.0,12.0,19.0,31.0,41,41,115.0,1,2017,2081
317,47,84219,2.0,13.0,17.0,30.0,44,39,115.0,1,2017,2081
318,48,48057,2.0,16.0,21.0,37.0,36,39,114.0,1,2017,2081
319,49,83973,2.0,16.0,20.0,36.0,42,34,114.0,1,2017,2081
320,49,80283,2.0,14.0,20.0,34.0,37,41,114.0,1,2017,2081
321,51,55929,2.0,16.0,19.0,35.0,36,41,114.0,1,2017,2081
322,52,43383,1.901,13.0,20.0,33.0,39,40,113.90100000000001,1,2017,2081
323,53,28377,1.7690000000000001,17.0,19.0,36.0,35,41,113.76899999999999,1,2017,2081
324,54,38217,1.432,16.0,20.0,36.0,38,38,113.432,1,2017,2081
325,55,39201,2.0,16.0,18.0,34.0,36,41,113.0,1,2017,2081
326,56,85449,1.901,15.0,19.0,34.0,35,42,112.90100000000001,1,2017,2081
327,57,12141,1.7990000000000002,17.0,19.0,36.0,40,35,112.79899999999999,1,2017,2081
328,58,87663,2.0,12.0,21.0,33.0,35,42,112.0,1,2017,2081
329,59,19521,2.0,13.0,20.0,33.0,40,37,112.0,1,2017,2081
330,59,15093,2.0,17.0,20.0,37.0,39,34,112.0,1,2017,2081
331,59,20751,2.0,16.0,20.0,36.0,36,38,112.0,1,2017,2081
